fk_type_unite,season,season_year,nbmr_members_season,leak_rate,members_lag1,leak_rate_lag1,growth_rate_lag1,delta_members_lag1,avg_members_unite_past,season_index
1,2024/2025,2024,25,44.44,45.0,0.0,,,45.0,2
1,2025/2026,2025,12,52.0,25.0,44.44,-44.44444444444444,-20.0,35.0,3
2,2024/2025,2024,18,55.0,40.0,0.0,,,40.0,2
2,2025/2026,2025,25,0.0,18.0,55.0,-55.00000000000001,-22.0,29.0,3
3,2024/2025,2024,16,33.33,24.0,0.0,,,24.0,2
3,2025/2026,2025,12,25.0,16.0,33.33,-33.333333333333336,-8.0,20.0,3
4,2024/2025,2024,18,47.06,34.0,0.0,,,34.0,2
4,2025/2026,2025,20,0.0,18.0,47.06,-47.05882352941176,-16.0,26.0,3
5,2024/2025,2024,10,16.67,12.0,0.0,,,12.0,2
5,2025/2026,2025,8,20.0,10.0,16.67,-16.666666666666664,-2.0,11.0,3
6,2024/2025,2024,10,0.0,8.0,0.0,,,8.0,2
6,2025/2026,2025,6,40.0,10.0,0.0,25.0,2.0,9.0,3
