fk_type_unite,season,season_year,nbmr_members_season,leak_rate,nmbr_members_previous_season,members_lag1,growth_rate,delta_members,avg_members_past,retention_rate,members_x_retention,season_index,deviation_from_avg,iso_label,iso_score,iso_anomaly,lof_label,lof_score,lof_anomaly,zscore_max,zscore_anomaly,vote_sum,consensus
1,2023/2024,2023,45,0.0,0,0,0.0,0.0,45.0,1.0,45.0,1,0.0,1,0.030783592300515417,0,1,1.1255743110563547,0,2.3829648062365982,1,1,0
1,2024/2025,2024,25,44.44,45,45,-44.44444444444444,-20.0,45.0,0.5556000000000001,13.890000000000002,2,-20.0,-1,-0.031050271550079334,1,1,0.9313203549416755,0,1.9769358043387675,0,1,0
1,2025/2026,2025,12,52.0,25,25,-52.0,-13.0,35.0,0.48,5.76,3,-23.0,-1,-0.009149266421370261,1,1,0.9313203549416755,0,2.0780376109839396,1,2,1
2,2023/2024,2023,40,0.0,0,0,0.0,0.0,40.0,1.0,40.0,1,0.0,1,0.09146858450944517,0,1,1.1255743110563547,0,1.967911037214628,0,0,0
2,2024/2025,2024,18,55.0,40,40,-55.00000000000001,-22.0,40.0,0.44999999999999996,8.1,2,-22.0,-1,-0.015620780759622588,1,1,1.0663269158235948,0,2.231113264896609,1,2,1
2,2025/2026,2025,25,0.0,18,18,38.888888888888886,7.0,29.0,1.0,25.0,3,-4.0,1,0.007485763435666537,0,1,1.0705803737578923,0,2.022232365289274,1,1,0
3,2023/2024,2023,24,0.0,0,0,0.0,0.0,24.0,1.0,24.0,1,0.0,1,0.13587311484400033,0,1,0.8392368380663954,0,0.8927208954004794,0,0,0
3,2024/2025,2024,16,33.33,24,24,-33.333333333333336,-8.0,24.0,0.6667000000000001,10.667200000000001,2,-8.0,1,0.049494754522141804,0,1,0.9679374652606759,0,0.7204834529188301,0,0,0
3,2025/2026,2025,12,25.0,16,16,-25.0,-4.0,20.0,0.75,9.0,3,-8.0,1,0.06902310965078007,0,-1,1.1257901653918008,1,0.6424555918517635,0,1,0
4,2023/2024,2023,34,0.0,0,0,0.0,0.0,34.0,1.0,34.0,1,0.0,1,0.1135233287268152,0,-1,1.1559682203129318,1,1.4698465143882637,0,1,0
4,2024/2025,2024,18,47.06,34,34,-47.05882352941176,-16.0,34.0,0.5294,9.5292,2,-16.0,1,0.04648207888728917,0,1,1.0869592381004256,0,1.4685808832230844,0,0,0
4,2025/2026,2025,20,0.0,18,18,11.111111111111116,2.0,26.0,1.0,20.0,3,-6.0,1,0.08030040960616458,0,1,1.066412096163271,0,0.9673416659784653,0,0,0
5,2023/2024,2023,12,0.0,0,0,0.0,0.0,12.0,1.0,12.0,1,0.0,1,0.13660392172585983,0,1,0.9773144370714925,0,0.8927208954004794,0,0,0
5,2024/2025,2024,10,16.67,12,12,-16.666666666666664,-2.0,12.0,0.8332999999999999,8.332999999999998,2,-2.0,1,0.07219745268486516,0,1,0.9292802661723027,0,0.8245689879672239,0,0,0
5,2025/2026,2025,8,20.0,10,10,-19.999999999999996,-2.0,11.0,0.8,6.4,3,-3.0,1,0.0692996044137153,0,1,0.9038559858721773,0,1.0066823840826844,0,0,0
6,2023/2024,2023,8,0.0,0,0,0.0,0.0,8.0,1.0,8.0,1,0.0,1,0.12862823269306667,0,1,1.0241349067244303,0,1.0066823840826844,0,0,0
6,2024/2025,2024,10,0.0,8,8,25.0,2.0,8.0,1.0,10.0,2,2.0,1,0.03978870895672715,0,1,0.9569682670885015,0,1.4947870156338696,0,0,0
6,2025/2026,2025,6,40.0,10,10,-40.0,-4.0,9.0,0.6,3.5999999999999996,3,-3.0,1,0.013544578081885583,0,1,1.1082537120123088,0,1.1887957801981448,0,0,0
